Country,year,sex,age,suicides_no,population,
Albania,2007,male,55-74 years,14,224160,6.25E-05
Albania,2007,male,75+ years,8,42366,0.000188831
Albania,2008,female,15-24 years,20,276073,7.24E-05
Albania,2008,female,25-34 years,9,182663,4.93E-05
Albania,2008,female,35-54 years,19,393832,4.82E-05
Albania,2008,female,5-14 years,1,246288,4.06E-06
Albania,2008,female,55-74 years,7,226448,3.09E-05
Albania,2008,female,75+ years,5,59369,8.42E-05
Albania,2008,male,15-24 years,11,286702,3.84E-05
Albania,2008,male,25-34 years,21,172855,0.000121489
Albania,2008,male,35-54 years,37,377119,9.81E-05
Albania,2008,male,5-14 years,7,262464,2.67E-05
Albania,2008,male,55-74 years,21,228672,9.18E-05
Albania,2008,male,75+ years,2,44574,4.49E-05
Albania,2009,female,15-24 years,0,270003,0
Albania,2009,female,25-34 years,0,182712,0
Albania,2009,female,35-54 years,0,394286,0
Albania,2009,female,5-14 years,0,236174,0
Albania,2009,female,55-74 years,0,233302,0
Albania,2009,female,75+ years,0,61582,0
Albania,2009,male,15-24 years,0,283448,0
Albania,2009,male,25-34 years,0,174955,0
Albania,2009,male,35-54 years,0,374365,0
Albania,2009,male,5-14 years,0,253007,0
Albania,2009,male,55-74 years,0,234570,0
Albania,2009,male,75+ years,0,47331,0
Albania,2010,female,15-24 years,6,263581,2.28E-05
Albania,2010,female,25-34 years,6,183579,3.27E-05
Albania,2010,female,35-54 years,12,394593,3.04E-05
Albania,2010,female,5-14 years,2,223969,8.93E-06
Albania,2010,female,55-74 years,7,241491,2.90E-05
Albania,2010,female,75+ years,2,64415,3.10E-05
Albania,2010,male,15-24 years,10,279508,3.58E-05
Albania,2010,male,25-34 years,9,179720,5.01E-05
Albania,2010,male,35-54 years,20,371611,5.38E-05
Albania,2010,male,5-14 years,0,240939,0
Albania,2010,male,55-74 years,20,241852,8.27E-05
Albania,2010,male,75+ years,2,50767,3.94E-05
Albania,2011,female,15-24 years,,258006,0
Albania,2011,female,25-34 years,,184556,0
Albania,2011,female,35-54 years,,394638,0
Albania,2011,female,5-14 years,,210822,0
Albania,2011,female,55-74 years,,250641,0
Albania,2011,female,75+ years,,67649,0
Albania,2011,male,15-24 years,,275385,0
Albania,2011,male,25-34 years,,185898,0
Albania,2011,male,35-54 years,,368950,0
Albania,2011,male,5-14 years,,228071,0
Albania,2011,male,55-74 years,,250362,0
Albania,2011,male,75+ years,,54228,0
Albania,2012,female,15-24 years,,249730,0
Albania,2012,female,25-34 years,,187346,0
Albania,2012,female,35-54 years,,395819,0
Albania,2012,female,5-14 years,,198385,0
Albania,2012,female,55-74 years,,259751,0
Albania,2012,female,75+ years,,69811,0
Albania,2012,male,15-24 years,,268954,0
Albania,2012,male,25-34 years,,194250,0
Albania,2012,male,35-54 years,,369536,0
Albania,2012,male,5-14 years,,215894,0
Albania,2012,male,55-74 years,,259056,0
Albania,2012,male,75+ years,,56701,0
Albania,2013,female,15-24 years,,237550,0
Albania,2013,female,25-34 years,,191853,0
Albania,2013,female,35-54 years,,397517,0
Albania,2013,female,5-14 years,,187558,0
Albania,2013,female,55-74 years,,269026,0
Albania,2013,female,75+ years,,71601,0
Albania,2013,male,15-24 years,,259826,0
Albania,2013,male,25-34 years,,204491,0
Albania,2013,male,35-54 years,,372005,0
Albania,2013,male,5-14 years,,204865,0
Albania,2013,male,55-74 years,,267905,0
Albania,2013,male,75+ years,,59113,0
Albania,2014,female,15-24 years,,224883,0
Albania,2014,female,25-34 years,,195460,0
Albania,2014,female,35-54 years,,399197,0
Albania,2014,female,5-14 years,,177838,0
Albania,2014,female,55-74 years,,278887,0
Albania,2014,female,75+ years,,73945,0
Albania,2014,male,15-24 years,,250345,0
Albania,2014,male,25-34 years,,213828,0
Albania,2014,male,35-54 years,,373493,0
Albania,2014,male,5-14 years,,194554,0
Albania,2014,male,55-74 years,,277604,0
Albania,2014,male,75+ years,,61678,0
Albania,2015,female,15-24 years,,212324,0
Albania,2015,female,25-34 years,,199024,0
Albania,2015,female,35-54 years,,400275,0
Albania,2015,female,5-14 years,,168140,0
Albania,2015,female,55-74 years,,289055,0
Albania,2015,female,75+ years,,76861,0
Albania,2015,male,15-24 years,,240777,0
Albania,2015,male,25-34 years,,222680,0
Albania,2015,male,35-54 years,,374464,0
Albania,2015,male,5-14 years,,184114,0
Albania,2015,male,55-74 years,,287770,0
Albania,2015,male,75+ years,,64200,0
Anguilla,1983,female,15-24 years,0,,#DIV/0!
Anguilla,1983,female,25-34 years,0,,#DIV/0!
Anguilla,1983,female,35-54 years,0,,#DIV/0!
Anguilla,1983,female,5-14 years,0,,#DIV/0!
Anguilla,1983,female,55-74 years,0,,#DIV/0!
Anguilla,1983,female,75+ years,0,,#DIV/0!
Anguilla,1983,male,15-24 years,0,,#DIV/0!
Anguilla,1983,male,25-34 years,0,,#DIV/0!
Anguilla,1983,male,35-54 years,0,,#DIV/0!
Anguilla,1983,male,5-14 years,0,,#DIV/0!
Anguilla,1983,male,55-74 years,0,,#DIV/0!
Anguilla,1983,male,75+ years,0,,#DIV/0!
Anguilla,1984,female,15-24 years,0,,#DIV/0!
Anguilla,1984,female,25-34 years,0,,#DIV/0!
Anguilla,1984,female,35-54 years,0,,#DIV/0!
Anguilla,1984,female,5-14 years,0,,#DIV/0!
Anguilla,1984,female,55-74 years,0,,#DIV/0!
Anguilla,1984,female,75+ years,0,,#DIV/0!
Anguilla,1984,male,15-24 years,0,,#DIV/0!
Anguilla,1984,male,25-34 years,0,,#DIV/0!
Anguilla,1984,male,35-54 years,0,,#DIV/0!
Anguilla,1984,male,5-14 years,0,,#DIV/0!
Anguilla,1984,male,55-74 years,0,,#DIV/0!
Anguilla,1984,male,75+ years,0,,#DIV/0!
Anguilla,1985,female,15-24 years,0,,#DIV/0!
Anguilla,1985,female,25-34 years,0,,#DIV/0!
Anguilla,1985,female,35-54 years,0,,#DIV/0!
Anguilla,1985,female,5-14 years,0,,#DIV/0!
Anguilla,1985,female,55-74 years,0,,#DIV/0!
Anguilla,1985,female,75+ years,0,,#DIV/0!
Anguilla,1985,male,15-24 years,0,,#DIV/0!
Anguilla,1985,male,25-34 years,0,,#DIV/0!
Anguilla,1985,male,35-54 years,0,,#DIV/0!
Anguilla,1985,male,5-14 years,0,,#DIV/0!
Anguilla,1985,male,55-74 years,0,,#DIV/0!
Anguilla,1985,male,75+ years,0,,#DIV/0!
Anguilla,1986,female,15-24 years,0,,#DIV/0!
Anguilla,1986,female,25-34 years,0,,#DIV/0!
Anguilla,1986,female,35-54 years,0,,#DIV/0!
Anguilla,1986,female,5-14 years,0,,#DIV/0!
Anguilla,1986,female,55-74 years,0,,#DIV/0!
Anguilla,1986,female,75+ years,0,,#DIV/0!
Anguilla,1986,male,15-24 years,0,,#DIV/0!
Anguilla,1986,male,25-34 years,0,,#DIV/0!
Anguilla,1986,male,35-54 years,0,,#DIV/0!
Anguilla,1986,male,5-14 years,0,,#DIV/0!
Anguilla,1986,male,55-74 years,0,,#DIV/0!
Anguilla,1986,male,75+ years,0,,#DIV/0!
Anguilla,1987,female,15-24 years,0,,#DIV/0!
Anguilla,1987,female,25-34 years,0,,#DIV/0!
Anguilla,1987,female,35-54 years,0,,#DIV/0!
Anguilla,1987,female,5-14 years,0,,#DIV/0!
Anguilla,1987,female,55-74 years,0,,#DIV/0!
Anguilla,1987,female,75+ years,0,,#DIV/0!
Anguilla,1987,male,15-24 years,0,,#DIV/0!
Anguilla,1987,male,25-34 years,0,,#DIV/0!
Anguilla,1987,male,35-54 years,0,,#DIV/0!
Anguilla,1987,male,5-14 years,0,,#DIV/0!
Anguilla,1987,male,55-74 years,0,,#DIV/0!
Anguilla,1987,male,75+ years,0,,#DIV/0!
Anguilla,1988,female,15-24 years,0,,#DIV/0!
Anguilla,1988,female,25-34 years,0,,#DIV/0!
Anguilla,1988,female,35-54 years,0,,#DIV/0!
Anguilla,1988,female,5-14 years,0,,#DIV/0!
Anguilla,1988,female,55-74 years,0,,#DIV/0!
Anguilla,1988,female,75+ years,0,,#DIV/0!
Anguilla,1988,male,15-24 years,0,,#DIV/0!
Anguilla,1988,male,25-34 years,0,,#DIV/0!
Anguilla,1988,male,35-54 years,0,,#DIV/0!
Anguilla,1988,male,5-14 years,0,,#DIV/0!
Anguilla,1988,male,55-74 years,0,,#DIV/0!
Anguilla,1988,male,75+ years,0,,#DIV/0!
Anguilla,1989,female,15-24 years,0,,#DIV/0!
Anguilla,1989,female,25-34 years,0,,#DIV/0!
Anguilla,1989,female,35-54 years,0,,#DIV/0!
Anguilla,1989,female,5-14 years,0,,#DIV/0!
Anguilla,1989,female,55-74 years,0,,#DIV/0!
Anguilla,1989,female,75+ years,0,,#DIV/0!
Anguilla,1989,male,15-24 years,0,,#DIV/0!
Anguilla,1989,male,25-34 years,0,,#DIV/0!
Anguilla,1989,male,35-54 years,0,,#DIV/0!
Anguilla,1989,male,5-14 years,0,,#DIV/0!
Anguilla,1989,male,55-74 years,0,,#DIV/0!
Anguilla,1989,male,75+ years,0,,#DIV/0!
Anguilla,1990,female,15-24 years,0,,#DIV/0!
Anguilla,1990,female,25-34 years,0,,#DIV/0!
Anguilla,1990,female,35-54 years,0,,#DIV/0!
Anguilla,1990,female,5-14 years,0,,#DIV/0!
Anguilla,1990,female,55-74 years,0,,#DIV/0!
Anguilla,1990,female,75+ years,0,,#DIV/0!
Anguilla,1990,male,15-24 years,0,,#DIV/0!
