Country,year,sex,age,suicides_no,population,
Mauritius,1989,male,55-74 years,8,47500,0.000168421
Mauritius,1989,male,75+ years,2,5200,0.000384615
Mauritius,1990,female,15-24 years,23,95400,0.00024109
Mauritius,1990,female,25-34 years,18,97100,0.000185376
Mauritius,1990,female,35-54 years,8,115600,6.92E-05
Mauritius,1990,female,5-14 years,3,103400,2.90E-05
Mauritius,1990,female,55-74 years,4,51800,7.72E-05
Mauritius,1990,female,75+ years,0,10500,0
Mauritius,1990,male,15-24 years,18,98500,0.000182741
Mauritius,1990,male,25-34 years,26,98100,0.000265036
Mauritius,1990,male,35-54 years,33,107800,0.000306122
Mauritius,1990,male,5-14 years,1,108400,9.23E-06
Mauritius,1990,male,55-74 years,13,48700,0.00026694
Mauritius,1990,male,75+ years,0,5800,0
Mauritius,1991,female,15-24 years,15,93300,0.000160772
Mauritius,1991,female,25-34 years,11,97100,0.000113285
Mauritius,1991,female,35-54 years,9,114000,7.89E-05
Mauritius,1991,female,5-14 years,3,101000,2.97E-05
Mauritius,1991,female,55-74 years,5,53600,9.33E-05
Mauritius,1991,female,75+ years,0,11500,0
Mauritius,1991,male,15-24 years,15,96200,0.000155925
Mauritius,1991,male,25-34 years,37,100400,0.000368526
Mauritius,1991,male,35-54 years,27,113400,0.000238095
Mauritius,1991,male,5-14 years,0,103900,0
Mauritius,1991,male,55-74 years,12,47400,0.000253165
Mauritius,1991,male,75+ years,3,6300,0.00047619
Mauritius,1992,female,15-24 years,13,93200,0.000139485
Mauritius,1992,female,25-34 years,11,96800,0.000113636
Mauritius,1992,female,35-54 years,14,118500,0.000118143
Mauritius,1992,female,5-14 years,4,99300,4.03E-05
Mauritius,1992,female,55-74 years,3,54700,5.48E-05
Mauritius,1992,female,75+ years,1,11800,8.47E-05
Mauritius,1992,male,15-24 years,17,96800,0.00017562
Mauritius,1992,male,25-34 years,24,101400,0.000236686
Mauritius,1992,male,35-54 years,47,118800,0.000395623
Mauritius,1992,male,5-14 years,1,102400,9.77E-06
Mauritius,1992,male,55-74 years,8,48000,0.000166667
Mauritius,1992,male,75+ years,3,6600,0.000454545
Mauritius,1993,female,15-24 years,16,93500,0.000171123
Mauritius,1993,female,25-34 years,16,97000,0.000164948
Mauritius,1993,female,35-54 years,8,122700,6.52E-05
Mauritius,1993,female,5-14 years,2,97600,2.05E-05
Mauritius,1993,female,55-74 years,3,55600,5.40E-05
Mauritius,1993,female,75+ years,0,12200,0
Mauritius,1993,male,15-24 years,13,97500,0.000133333
Mauritius,1993,male,25-34 years,30,102500,0.000292683
Mauritius,1993,male,35-54 years,33,123400,0.000267423
Mauritius,1993,male,5-14 years,2,100800,1.98E-05
Mauritius,1993,male,55-74 years,13,48700,0.00026694
Mauritius,1993,male,75+ years,2,6800,0.000294118
Mauritius,1994,female,15-24 years,9,96100,9.37E-05
Mauritius,1994,female,25-34 years,8,97100,8.24E-05
Mauritius,1994,female,35-54 years,3,127900,2.35E-05
Mauritius,1994,female,5-14 years,1,96300,1.04E-05
Mauritius,1994,female,55-74 years,0,56700,0
Mauritius,1994,female,75+ years,1,12400,8.06E-05
Mauritius,1994,male,15-24 years,25,99500,0.000251256
Mauritius,1994,male,25-34 years,41,102600,0.00039961
Mauritius,1994,male,35-54 years,28,128600,0.000217729
Mauritius,1994,male,5-14 years,0,99500,0
Mauritius,1994,male,55-74 years,12,49100,0.000244399
Mauritius,1994,male,75+ years,1,7000,0.000142857
Mauritius,1995,female,15-24 years,11,97900,0.00011236
Mauritius,1995,female,25-34 years,4,95700,4.18E-05
Mauritius,1995,female,35-54 years,8,132400,6.04E-05
Mauritius,1995,female,5-14 years,2,94400,2.12E-05
Mauritius,1995,female,55-74 years,6,57800,0.000103806
Mauritius,1995,female,75+ years,1,12800,0.000078125
Mauritius,1995,male,15-24 years,16,101000,0.000158416
Mauritius,1995,male,25-34 years,34,101700,0.000334317
Mauritius,1995,male,35-54 years,49,133300,0.000367592
Mauritius,1995,male,5-14 years,1,97800,1.02E-05
Mauritius,1995,male,55-74 years,13,49900,0.000260521
Mauritius,1995,male,75+ years,2,7200,0.000277778
Mauritius,1996,female,15-24 years,8,100000,0.00008
Mauritius,1996,female,25-34 years,12,94900,0.000126449
Mauritius,1996,female,35-54 years,7,137300,5.10E-05
Mauritius,1996,female,5-14 years,2,93900,2.13E-05
Mauritius,1996,female,55-74 years,6,58500,0.000102564
Mauritius,1996,female,75+ years,1,13200,7.58E-05
Mauritius,1996,male,15-24 years,27,103000,0.000262136
Mauritius,1996,male,25-34 years,33,100700,0.000327706
Mauritius,1996,male,35-54 years,41,138600,0.000295815
Mauritius,1996,male,5-14 years,0,97200,0
Mauritius,1996,male,55-74 years,16,50200,0.000318725
Mauritius,1996,male,75+ years,0,7500,0
Mauritius,1997,female,15-24 years,6,101800,5.89E-05
Mauritius,1997,female,25-34 years,4,94100,4.25E-05
Mauritius,1997,female,35-54 years,6,143100,4.19E-05
Mauritius,1997,female,5-14 years,1,94100,1.06E-05
Mauritius,1997,female,55-74 years,3,59300,5.06E-05
Mauritius,1997,female,75+ years,0,13700,0
Mauritius,1997,male,15-24 years,21,104800,0.000200382
Mauritius,1997,male,25-34 years,27,100000,0.00027
Mauritius,1997,male,35-54 years,40,144500,0.000276817
Mauritius,1997,male,5-14 years,1,97900,1.02E-05
Mauritius,1997,male,55-74 years,11,50600,0.000217391
Mauritius,1997,male,75+ years,2,7800,0.00025641
Mauritius,1998,female,15-24 years,15,103000,0.000145631
Mauritius,1998,female,25-34 years,16,92200,0.000173536
Mauritius,1998,female,35-54 years,8,148800,5.38E-05
Mauritius,1998,female,5-14 years,0,95400,0
Mauritius,1998,female,55-74 years,1,60100,1.66E-05
Mauritius,1998,female,75+ years,1,14200,7.04E-05
Mauritius,1998,male,15-24 years,20,105800,0.000189036
Mauritius,1998,male,25-34 years,35,98200,0.000356415
Mauritius,1998,male,35-54 years,46,150700,0.000305242
Mauritius,1998,male,5-14 years,2,99000,2.02E-05
Mauritius,1998,male,55-74 years,11,50700,0.000216963
Mauritius,1998,male,75+ years,0,8200,0
Mauritius,1999,female,15-24 years,18,102900,0.000174927
Mauritius,1999,female,25-34 years,17,92200,0.000184382
Mauritius,1999,female,35-54 years,17,154100,0.000110318
Mauritius,1999,female,5-14 years,0,96600,0
Mauritius,1999,female,55-74 years,2,61600,3.25E-05
Mauritius,1999,female,75+ years,0,14800,0
Mauritius,1999,male,15-24 years,13,105600,0.000123106
Mauritius,1999,male,25-34 years,41,97800,0.000419223
Mauritius,1999,male,35-54 years,57,156300,0.000364683
Mauritius,1999,male,5-14 years,1,100000,0.00001
Mauritius,1999,male,55-74 years,5,51800,9.65E-05
Mauritius,1999,male,75+ years,3,8700,0.000344828
Mauritius,2000,female,15-24 years,11,102131,0.000107705
Mauritius,2000,female,25-34 years,9,93975,9.58E-05
Mauritius,2000,female,35-54 years,9,159364,5.65E-05
Mauritius,2000,female,5-14 years,0,98361,0
Mauritius,2000,female,55-74 years,1,63460,1.58E-05
Mauritius,2000,female,75+ years,0,16509,0
Mauritius,2000,male,15-24 years,25,102779,0.00024324
Mauritius,2000,male,25-34 years,28,94136,0.000297442
Mauritius,2000,male,35-54 years,40,160762,0.000248815
Mauritius,2000,male,5-14 years,0,100755,0
Mauritius,2000,male,55-74 years,13,54106,0.000240269
Mauritius,2000,male,75+ years,1,9735,0.000102722
Mauritius,2001,female,15-24 years,13,101083,0.000128607
Mauritius,2001,female,25-34 years,5,93411,5.35E-05
Mauritius,2001,female,35-54 years,13,165008,7.88E-05
Mauritius,2001,female,5-14 years,1,99293,1.01E-05
Mauritius,2001,female,55-74 years,4,64392,6.21E-05
Mauritius,2001,female,75+ years,1,17391,5.75E-05
Mauritius,2001,male,15-24 years,8,102151,7.83E-05
Mauritius,2001,male,25-34 years,21,93054,0.000225675
Mauritius,2001,male,35-54 years,33,166424,0.000198289
Mauritius,2001,male,5-14 years,1,101693,9.83E-06
Mauritius,2001,male,55-74 years,12,54628,0.000219668
Mauritius,2001,male,75+ years,1,10419,9.60E-05
Mauritius,2002,female,15-24 years,11,99542,0.000110506
Mauritius,2002,female,25-34 years,6,94139,6.37E-05
Mauritius,2002,female,35-54 years,9,168822,5.33E-05
Mauritius,2002,female,5-14 years,0,99967,0
Mauritius,2002,female,55-74 years,3,66002,4.55E-05
Mauritius,2002,female,75+ years,0,18012,0
Mauritius,2002,male,15-24 years,17,100533,0.000169099
Mauritius,2002,male,25-34 years,28,93399,0.000299789
Mauritius,2002,male,35-54 years,43,170023,0.000252907
Mauritius,2002,male,5-14 years,0,102373,0
Mauritius,2002,male,55-74 years,13,56153,0.00023151
Mauritius,2002,male,75+ years,1,10790,9.27E-05
Mauritius,2003,female,15-24 years,8,97740,8.18E-05
Mauritius,2003,female,25-34 years,5,95550,5.23E-05
Mauritius,2003,female,35-54 years,8,172697,4.63E-05
Mauritius,2003,female,5-14 years,0,100012,0
Mauritius,2003,female,55-74 years,3,68440,4.38E-05
Mauritius,2003,female,75+ years,0,18660,0
Mauritius,2003,male,15-24 years,6,99166,6.05E-05
Mauritius,2003,male,25-34 years,20,94542,0.000211546
Mauritius,2003,male,35-54 years,24,173619,0.000138234
Mauritius,2003,male,5-14 years,1,102552,9.75E-06
Mauritius,2003,male,55-74 years,12,58071,0.000206644
Mauritius,2003,male,75+ years,1,11185,8.94E-05
Mauritius,2004,female,15-24 years,5,96083,5.20E-05
Mauritius,2004,female,25-34 years,6,97926,6.13E-05
Mauritius,2004,female,35-54 years,8,175289,4.56E-05
Mauritius,2004,female,5-14 years,0,99417,0
Mauritius,2004,female,55-74 years,3,70970,4.23E-05
Mauritius,2004,female,75+ years,0,19076,0
Mauritius,2004,male,15-24 years,11,98158,0.000112064
Mauritius,2004,male,25-34 years,22,96551,0.000227859
Mauritius,2004,male,35-54 years,34,175824,0.000193375
Mauritius,2004,male,5-14 years,0,102106,0
Mauritius,2004,male,55-74 years,6,60315,9.95E-05
Mauritius,2004,male,75+ years,2,11376,0.000175809
Mauritius,2005,female,15-24 years,5,94435,5.29E-05
Mauritius,2005,female,25-34 years,5,99884,5.01E-05
Mauritius,2005,female,35-54 years,7,177511,3.94E-05
Mauritius,2005,female,5-14 years,0,98568,0
Mauritius,2005,female,55-74 years,5,74380,6.72E-05
Mauritius,2005,female,75+ years,1,19557,5.11E-05
Mauritius,2005,male,15-24 years,9,96661,9.31E-05
Mauritius,2005,male,25-34 years,18,98556,0.000182637
Mauritius,2005,male,35-54 years,39,177945,0.000219169
Mauritius,2005,male,5-14 years,1,101372,9.86E-06
Mauritius,2005,male,55-74 years,11,63489,0.000173258
Mauritius,2005,male,75+ years,1,11584,8.63E-05
Mauritius,2006,female,15-24 years,9,94140,9.56E-05
Mauritius,2006,female,25-34 years,5,101903,4.91E-05
Mauritius,2006,female,35-54 years,8,178302,4.49E-05
Mauritius,2006,female,5-14 years,1,97629,1.02E-05
Mauritius,2006,female,55-74 years,3,78655,3.81E-05
Mauritius,2006,female,75+ years,3,19672,0.000152501
Mauritius,2006,male,15-24 years,17,96530,0.000176111
Mauritius,2006,male,25-34 years,19,100827,0.000188442
Mauritius,2006,male,35-54 years,37,178169,0.000207668
Mauritius,2006,male,5-14 years,0,100406,0
Mauritius,2006,male,55-74 years,10,67670,0.000147776
Mauritius,2006,male,75+ years,6,11398,0.000526408
Mauritius,2007,female,15-24 years,11,94225,0.000116742
Mauritius,2007,female,25-34 years,7,103004,6.80E-05
Mauritius,2007,female,35-54 years,9,179726,5.01E-05
Mauritius,2007,female,5-14 years,1,96189,1.04E-05
Mauritius,2007,female,55-74 years,2,82534,2.42E-05
Mauritius,2007,female,75+ years,0,19848,0
Mauritius,2007,male,15-24 years,16,97048,0.000164867
Mauritius,2007,male,25-34 years,30,102202,0.000293536
Mauritius,2007,male,35-54 years,38,178997,0.000212294
Mauritius,2007,male,5-14 years,0,98602,0
Mauritius,2007,male,55-74 years,9,71372,0.0001261
Mauritius,2007,male,75+ years,4,11486,0.00034825
Mauritius,2008,female,15-24 years,2,95566,2.09E-05
Mauritius,2008,female,25-34 years,3,104061,2.88E-05
Mauritius,2008,female,35-54 years,3,180104,1.67E-05
Mauritius,2008,female,5-14 years,1,94783,1.06E-05
Mauritius,2008,female,55-74 years,3,86641,3.46E-05
Mauritius,2008,female,75+ years,0,20317,0
Mauritius,2008,male,15-24 years,11,98207,0.000112008
Mauritius,2008,male,25-34 years,21,103266,0.000203358
Mauritius,2008,male,35-54 years,23,178971,0.000128512
Mauritius,2008,male,5-14 years,0,97260,0
Mauritius,2008,male,55-74 years,17,75302,0.000225758
Mauritius,2008,male,75+ years,0,11780,0
Mauritius,2009,female,15-24 years,7,97984,7.14E-05
Mauritius,2009,female,25-34 years,5,98003,5.10E-05
Mauritius,2009,female,35-54 years,3,178594,1.68E-05
Mauritius,2009,female,5-14 years,3,96125,3.12E-05
Mauritius,2009,female,55-74 years,4,93824,4.26E-05
Mauritius,2009,female,75+ years,1,21454,4.66E-05
Mauritius,2009,male,15-24 years,16,99793,0.000160332
Mauritius,2009,male,25-34 years,20,99119,0.000201778
Mauritius,2009,male,35-54 years,46,179965,0.000255605
Mauritius,2009,male,5-14 years,1,99208,1.01E-05
Mauritius,2009,male,55-74 years,8,82341,9.72E-05
Mauritius,2009,male,75+ years,1,13141,7.61E-05
Mauritius,2010,female,15-24 years,2,98088,2.04E-05
Mauritius,2010,female,25-34 years,9,102078,8.82E-05
Mauritius,2010,female,35-54 years,8,184083,4.35E-05
Mauritius,2010,female,5-14 years,0,92051,0
Mauritius,2010,female,55-74 years,3,93848,3.20E-05
Mauritius,2010,female,75+ years,0,21469,0
Mauritius,2010,male,15-24 years,15,100282,0.000149578
Mauritius,2010,male,25-34 years,18,102081,0.000176331
Mauritius,2010,male,35-54 years,28,181881,0.000153947
Mauritius,2010,male,5-14 years,0,94862,0
Mauritius,2010,male,55-74 years,11,81700,0.000134639
Mauritius,2010,male,75+ years,4,12508,0.000319795
Mauritius,2011,female,15-24 years,10,99022,0.000100988
Mauritius,2011,female,25-34 years,5,100904,4.96E-05
Mauritius,2011,female,35-54 years,4,185299,2.16E-05
Mauritius,2011,female,5-14 years,1,90807,1.10E-05
Mauritius,2011,female,55-74 years,3,98036,3.06E-05
Mauritius,2011,female,75+ years,0,22119,0
Mauritius,2011,male,15-24 years,13,101183,0.00012848
Mauritius,2011,male,25-34 years,28,101278,0.000276467
Mauritius,2011,male,35-54 years,40,182167,0.000219579
Mauritius,2011,male,5-14 years,0,93940,0
Mauritius,2011,male,55-74 years,11,85760,0.000128265
Mauritius,2011,male,75+ years,3,12837,0.000233699
Mauritius,2012,female,15-24 years,10,99697,0.000100304
Mauritius,2012,female,25-34 years,6,99373,6.04E-05
Mauritius,2012,female,35-54 years,5,186881,2.68E-05
Mauritius,2012,female,5-14 years,2,89061,2.25E-05
Mauritius,2012,female,55-74 years,2,102269,1.96E-05
Mauritius,2012,female,75+ years,1,22801,4.39E-05
Mauritius,2012,male,15-24 years,9,101864,8.84E-05
Mauritius,2012,male,25-34 years,26,99664,0.000260877
Mauritius,2012,male,35-54 years,37,183077,0.000202101
Mauritius,2012,male,5-14 years,1,92585,1.08E-05
Mauritius,2012,male,55-74 years,14,90063,0.000155447
Mauritius,2012,male,75+ years,2,13212,0.000151378
Mauritius,2013,female,15-24 years,8,94321,8.48E-05
Mauritius,2013,female,25-34 years,1,89909,1.11E-05
Mauritius,2013,female,35-54 years,3,176180,1.70E-05
Mauritius,2013,female,5-14 years,2,87604,2.28E-05
Mauritius,2013,female,55-74 years,1,107634,9.29E-06
Mauritius,2013,female,75+ years,0,24625,0
Mauritius,2013,male,15-24 years,17,96237,0.000176647
Mauritius,2013,male,25-34 years,19,91452,0.000207759
Mauritius,2013,male,35-54 years,33,178200,0.000185185
Mauritius,2013,male,5-14 years,0,90906,0
Mauritius,2013,male,55-74 years,12,95695,0.000125398
Mauritius,2013,male,75+ years,2,14627,0.000136733
Mauritius,2014,female,15-24 years,3,94217,3.18E-05
Mauritius,2014,female,25-34 years,7,88430,7.92E-05
Mauritius,2014,female,35-54 years,7,176494,3.97E-05
Mauritius,2014,female,5-14 years,3,85980,3.49E-05
Mauritius,2014,female,55-74 years,2,112152,1.78E-05
Mauritius,2014,female,75+ years,2,25080,7.97E-05
Mauritius,2014,male,15-24 years,24,96346,0.000249102
Mauritius,2014,male,25-34 years,24,90004,0.000266655
Mauritius,2014,male,35-54 years,41,179164,0.000228841
Mauritius,2014,male,5-14 years,0,88814,0
Mauritius,2014,male,55-74 years,6,99760,6.01E-05
Mauritius,2014,male,75+ years,1,14983,6.67E-05
Mauritius,2015,female,15-24 years,7,94082,7.44E-05
Mauritius,2015,female,25-34 years,10,86613,0.000115456
Mauritius,2015,female,35-54 years,5,177447,2.82E-05
Mauritius,2015,female,5-14 years,0,83838,0
Mauritius,2015,female,55-74 years,4,116373,3.44E-05
Mauritius,2015,female,75+ years,0,25820,0
Mauritius,2015,male,15-24 years,14,96489,0.000145094
Mauritius,2015,male,25-34 years,16,88362,0.000181073
Mauritius,2015,male,35-54 years,37,180202,0.000205325
Mauritius,2015,male,5-14 years,0,86385,0
Mauritius,2015,male,55-74 years,9,103727,8.68E-05
Mauritius,2015,male,75+ years,2,15510,0.000128949
Mauritius,2016,female,15-24 years,4,94001,4.26E-05
Mauritius,2016,female,25-34 years,3,85747,3.50E-05
Mauritius,2016,female,35-54 years,6,177524,3.38E-05
Mauritius,2016,female,5-14 years,0,81248,0
Mauritius,2016,female,55-74 years,2,120603,1.66E-05
Mauritius,2016,female,75+ years,0,26298,0
Mauritius,2016,male,15-24 years,18,96372,0.000186776
Mauritius,2016,male,25-34 years,17,87701,0.00019384
Mauritius,2016,male,35-54 years,33,180530,0.000182795
Mauritius,2016,male,5-14 years,0,83549,0
Mauritius,2016,male,55-74 years,12,107902,0.000111212
Mauritius,2016,male,75+ years,3,15754,0.000190428
Mayotte,2011,female,15-24 years,0,20586,0
Mayotte,2011,female,25-34 years,0,17376,0
Mayotte,2011,female,35-54 years,0,18331,0
Mayotte,2011,female,5-14 years,0,27907,0
Mayotte,2011,female,55-74 years,0,6452,0
Mayotte,2011,female,75+ years,0,1540,0
Mayotte,2011,male,15-24 years,0,19711,0
Mayotte,2011,male,25-34 years,0,13156,0
Mayotte,2011,male,35-54 years,0,17702,0
Mayotte,2011,male,5-14 years,0,28625,0
Mayotte,2011,male,55-74 years,0,6582,0
Mayotte,2011,male,75+ years,0,1226,0
Mayotte,2012,female,15-24 years,0,20766,0
Mayotte,2012,female,25-34 years,0,17824,0
Mayotte,2012,female,35-54 years,0,19292,0
Mayotte,2012,female,5-14 years,0,28903,0
Mayotte,2012,female,55-74 years,0,6762,0
Mayotte,2012,female,75+ years,0,1609,0
Mayotte,2012,male,15-24 years,0,19897,0
Mayotte,2012,male,25-34 years,0,13737,0
Mayotte,2012,male,35-54 years,1,18600,5.38E-05
Mayotte,2012,male,5-14 years,0,29667,0
Mayotte,2012,male,55-74 years,0,6834,0
Mayotte,2012,male,75+ years,1,1299,0.000769823
Mayotte,2013,female,15-24 years,0,21078,0
Mayotte,2013,female,25-34 years,0,18214,0
Mayotte,2013,female,35-54 years,0,20307,0
Mayotte,2013,female,5-14 years,0,29923,0
Mayotte,2013,female,55-74 years,0,7091,0
Mayotte,2013,female,75+ years,0,1680,0
Mayotte,2013,male,15-24 years,0,20270,0
Mayotte,2013,male,25-34 years,2,14176,0.000141084
Mayotte,2013,male,35-54 years,1,19623,5.10E-05
Mayotte,2013,male,5-14 years,0,30749,0
Mayotte,2013,male,55-74 years,0,7107,0
Mayotte,2013,male,75+ years,0,1373,0
Mayotte,2014,female,15-24 years,0,21528,0
Mayotte,2014,female,25-34 years,0,18495,0
Mayotte,2014,female,35-54 years,0,21340,0
Mayotte,2014,female,5-14 years,0,30923,0
Mayotte,2014,female,55-74 years,0,7442,0
Mayotte,2014,female,75+ years,0,1758,0
Mayotte,2014,male,15-24 years,0,20851,0
Mayotte,2014,male,25-34 years,0,14422,0
Mayotte,2014,male,35-54 years,1,20715,4.83E-05
Mayotte,2014,male,5-14 years,0,31793,0
Mayotte,2014,male,55-74 years,0,7396,0
Mayotte,2014,male,75+ years,0,1450,0
Mexico,1979,female,15-24 years,121,6670736,1.81E-05
Mexico,1979,female,25-34 years,38,4189516,9.07E-06
Mexico,1979,female,35-54 years,43,4989611,8.62E-06
Mexico,1979,female,5-14 years,9,9613103,9.36E-07
Mexico,1979,female,55-74 years,9,2350236,3.83E-06
Mexico,1979,female,75+ years,4,514045,7.78E-06
Mexico,1979,male,15-24 years,316,6660647,4.74E-05
Mexico,1979,male,25-34 years,216,4227289,5.11E-05
Mexico,1979,male,35-54 years,191,4809644,3.97E-05
Mexico,1979,male,5-14 years,27,9845780,2.74E-06
Mexico,1979,male,55-74 years,87,2016235,4.31E-05
Mexico,1979,male,75+ years,31,419092,7.40E-05
Mexico,1980,female,15-24 years,90,6853170,1.31E-05
Mexico,1980,female,25-34 years,46,4373444,1.05E-05
Mexico,1980,female,35-54 years,35,5094337,6.87E-06
Mexico,1980,female,5-14 years,6,9923246,6.05E-07
Mexico,1980,female,55-74 years,13,2432918,5.34E-06
Mexico,1980,female,75+ years,2,534185,3.74E-06
Mexico,1980,male,15-24 years,254,6841567,3.71E-05
Mexico,1980,male,25-34 years,184,4393369,4.19E-05
Mexico,1980,male,35-54 years,194,4934310,3.93E-05
Mexico,1980,male,5-14 years,23,10169706,2.26E-06
Mexico,1980,male,55-74 years,77,2079887,3.70E-05
Mexico,1980,male,75+ years,37,430674,8.59E-05
Mexico,1981,female,15-24 years,117,7102000,1.65E-05
Mexico,1981,female,25-34 years,57,4707600,1.21E-05
Mexico,1981,female,35-54 years,55,5282600,1.04E-05
Mexico,1981,female,5-14 years,7,9966600,7.02E-07
Mexico,1981,female,55-74 years,18,2359600,7.63E-06
Mexico,1981,female,75+ years,7,479600,1.46E-05
Mexico,1981,male,15-24 years,320,7281800,4.39E-05
Mexico,1981,male,25-34 years,203,4695300,4.32E-05
Mexico,1981,male,35-54 years,240,5042200,4.76E-05
Mexico,1981,male,5-14 years,21,10314800,2.04E-06
Mexico,1981,male,55-74 years,102,2081400,4.90E-05
Mexico,1981,male,75+ years,29,375800,7.72E-05
Mexico,1982,female,15-24 years,120,7288500,1.65E-05
Mexico,1982,female,25-34 years,56,4831200,1.16E-05
Mexico,1982,female,35-54 years,49,5421100,9.04E-06
Mexico,1982,female,5-14 years,11,10228200,1.08E-06
Mexico,1982,female,55-74 years,15,2421600,6.19E-06
Mexico,1982,female,75+ years,4,492100,8.13E-06
Mexico,1982,male,15-24 years,293,7472900,3.92E-05
Mexico,1982,male,25-34 years,242,4818600,5.02E-05
Mexico,1982,male,35-54 years,195,5174600,3.77E-05
Mexico,1982,male,5-14 years,25,10585500,2.36E-06
Mexico,1982,male,55-74 years,113,2136000,5.29E-05
Mexico,1982,male,75+ years,43,385700,0.000111486
Mexico,1983,female,15-24 years,80,7313000,1.09E-05
Mexico,1983,female,25-34 years,50,4837000,1.03E-05
Mexico,1983,female,35-54 years,44,5511000,7.98E-06
Mexico,1983,female,5-14 years,6,10312000,5.82E-07
Mexico,1983,female,55-74 years,23,2211000,1.04E-05
Mexico,1983,female,75+ years,5,487000,1.03E-05
Mexico,1983,male,15-24 years,255,7424000,3.43E-05
Mexico,1983,male,25-34 years,210,4875000,4.31E-05
Mexico,1983,male,35-54 years,208,5398000,3.85E-05
Mexico,1983,male,5-14 years,24,10462000,2.29E-06
Mexico,1983,male,55-74 years,90,1988000,4.53E-05
Mexico,1983,male,75+ years,35,412000,8.50E-05
Mexico,1984,female,15-24 years,59,7638980,7.72E-06
Mexico,1984,female,25-34 years,37,5207717,7.10E-06
Mexico,1984,female,35-54 years,27,5557448,4.86E-06
Mexico,1984,female,5-14 years,5,10750949,4.65E-07
Mexico,1984,female,55-74 years,15,2782519,5.39E-06
Mexico,1984,female,75+ years,2,624317,3.20E-06
Mexico,1984,male,15-24 years,209,7603748,2.75E-05
Mexico,1984,male,25-34 years,209,5136836,4.07E-05
Mexico,1984,male,35-54 years,194,5481151,3.54E-05
Mexico,1984,male,5-14 years,23,11010470,2.09E-06
Mexico,1984,male,55-74 years,95,2356390,4.03E-05
Mexico,1984,male,75+ years,40,486185,8.23E-05
Mexico,1985,female,15-24 years,107,8211000,1.30E-05
Mexico,1985,female,25-34 years,61,5661000,1.08E-05
Mexico,1985,female,35-54 years,55,6100000,9.02E-06
Mexico,1985,female,5-14 years,20,10654000,1.88E-06
Mexico,1985,female,55-74 years,15,2651000,5.66E-06
Mexico,1985,female,75+ years,7,563000,1.24E-05
Mexico,1985,male,15-24 years,375,8420000,4.45E-05
Mexico,1985,male,25-34 years,340,5679000,5.99E-05
Mexico,1985,male,35-54 years,327,5836000,5.60E-05
Mexico,1985,male,5-14 years,48,11029000,4.35E-06
Mexico,1985,male,55-74 years,145,2330000,6.22E-05
Mexico,1985,male,75+ years,44,432000,0.000101852
Mexico,1986,female,15-24 years,117,8400500,1.39E-05
Mexico,1986,female,25-34 years,70,5791500,1.21E-05
Mexico,1986,female,35-54 years,51,6239700,8.17E-06
Mexico,1986,female,5-14 years,15,10899200,1.38E-06
Mexico,1986,female,55-74 years,12,2711700,4.43E-06
Mexico,1986,female,75+ years,4,576700,6.94E-06
Mexico,1986,male,15-24 years,408,8614300,4.74E-05
Mexico,1986,male,25-34 years,388,5809900,6.68E-05
Mexico,1986,male,35-54 years,361,5971300,6.05E-05
Mexico,1986,male,5-14 years,42,11282700,3.72E-06
Mexico,1986,male,55-74 years,176,2383900,7.38E-05
Mexico,1986,male,75+ years,70,442100,0.000158335
Mexico,1987,female,15-24 years,113,8559000,1.32E-05
Mexico,1987,female,25-34 years,64,5728000,1.12E-05
Mexico,1987,female,35-54 years,68,6389000,1.06E-05
Mexico,1987,female,5-14 years,16,10086000,1.59E-06
Mexico,1987,female,55-74 years,20,2727000,7.33E-06
Mexico,1987,female,75+ years,4,599100,6.68E-06
Mexico,1987,male,15-24 years,405,8726000,4.64E-05
Mexico,1987,male,25-34 years,382,5659000,6.75E-05
Mexico,1987,male,35-54 years,378,6187000,6.11E-05
Mexico,1987,male,5-14 years,36,10423000,3.45E-06
Mexico,1987,male,55-74 years,161,2409000,6.68E-05
Mexico,1987,male,75+ years,54,456000,0.000118421
Mexico,1988,female,15-24 years,118,8850000,1.33E-05
Mexico,1988,female,25-34 years,59,5953000,9.91E-06
Mexico,1988,female,35-54 years,60,6590000,9.10E-06
Mexico,1988,female,5-14 years,15,10101000,1.49E-06
Mexico,1988,female,55-74 years,21,2844000,7.38E-06
Mexico,1988,female,75+ years,7,614000,1.14E-05
Mexico,1988,male,15-24 years,418,9021000,4.63E-05
Mexico,1988,male,25-34 years,361,5878000,6.14E-05
Mexico,1988,male,35-54 years,353,6379000,5.53E-05
Mexico,1988,male,5-14 years,46,10438000,4.41E-06
Mexico,1988,male,55-74 years,185,2511000,7.37E-05
Mexico,1988,male,75+ years,60,467000,0.00012848
Mexico,1989,female,15-24 years,96,9111000,1.05E-05
Mexico,1989,female,25-34 years,64,6186000,1.03E-05
Mexico,1989,female,35-54 years,79,6807000,1.16E-05
Mexico,1989,female,5-14 years,14,10128000,1.38E-06
Mexico,1989,female,55-74 years,27,2961000,9.12E-06
Mexico,1989,female,75+ years,5,632000,7.91E-06
Mexico,1989,male,15-24 years,472,9284000,5.08E-05
Mexico,1989,male,25-34 years,369,6109000,6.04E-05
Mexico,1989,male,35-54 years,404,6586000,6.13E-05
Mexico,1989,male,5-14 years,40,10466000,3.82E-06
Mexico,1989,male,55-74 years,212,2613000,8.11E-05
Mexico,1989,male,75+ years,83,476000,0.00017437
